Time,Topic,Message,Color
17 10 2019 19:37:15 200932532,/mir_perception/barrier_tape_detection/event_in,e_start,tomato
17 10 2019 19:37:15 201870106,/arm_moveit_client/event_in,e_start,white
17 10 2019 19:37:15 202800062,/arm_moveit_client/target_string_pose,barrier_tape,grey
17 10 2019 19:37:15 208362425,/mcr_common/dynamic_reconfigure_client/configuration_name,dbc_move_base,darkorchid
17 10 2019 19:37:15 208563410,/mcr_common/dynamic_reconfigure_client/event_in,e_start,blue
17 10 2019 19:37:15 427802874,/arm_moveit_client/event_out,e_success,darkolivegreen
17 10 2019 19:37:15 429710298,/mcr_common/dynamic_reconfigure_client/event_out,e_success,darkgray
17 10 2019 19:37:15 511917956,/move_base_wrapper/event_in,e_start,lavenderblush
17 10 2019 19:37:15 512206113,/mcr_common/twist_to_motion_direction_conversion/event_in,e_start,fuchsia
17 10 2019 19:37:15 512942012,/mir_manipulation/look_at_point/event_in,e_start,darkorange
17 10 2019 19:37:17 925352653,/move_base/force_field_recovery/obstacle_cloud,ÍÌ¬?…ëÑ>,red
17 10 2019 19:37:29 722595170,/move_base_wrapper/event_out,e_success,lightgoldenrodyellow
17 10 2019 19:37:29 741286368,/arm_moveit_client/event_in,e_start,white
17 10 2019 19:37:29 744028655,/arm_moveit_client/target_string_pose,look_at_workspace_from_far,grey
17 10 2019 19:37:29 748217695,/mcr_navigation/direct_base_controller/coordinator/event_in,e_start,slateblue
17 10 2019 19:37:29 748490566,/mir_manipulation/look_at_point/event_in,e_stop,darkorange
17 10 2019 19:37:32 437411995,/arm_moveit_client/event_out,e_success,darkolivegreen
17 10 2019 19:37:34 751868690,/mcr_navigation/direct_base_controller/coordinator/event_in,e_stop,slateblue
17 10 2019 19:37:34 787938239,/mcr_navigation/direct_base_controller/coordinator/event_out,e_stopped,lightsteelblue
17 10 2019 19:37:34 808032403,/mir_perception/barrier_tape_detection/event_in,e_stop,tomato
