,Time,Topic,Message,Color
0,17 10 2019 19:35:03 109575862,/mir_perception/barrier_tape_detection/event_in,e_start,"color_(151, 193, 93)"
1,17 10 2019 19:35:03 110020437,/arm_moveit_client/event_in,e_start,"color_(167, 209, 109)"
2,17 10 2019 19:35:03 110299646,/arm_moveit_client/target_string_pose,barrier_tape,"color_(237, 23, 179)"
3,17 10 2019 19:35:03 112991788,/mcr_common/dynamic_reconfigure_client/configuration_name,dbc_move_base,"color_(81, 123, 23)"
4,17 10 2019 19:35:03 113124667,/mcr_common/dynamic_reconfigure_client/event_in,e_start,"color_(236, 22, 178)"
5,17 10 2019 19:35:03 272500787,/mcr_common/dynamic_reconfigure_client/event_out,e_success,"color_(54, 96, 252)"
6,17 10 2019 19:35:03 314078270,/move_base_wrapper/event_in,e_start,"color_(137, 179, 79)"
7,17 10 2019 19:35:03 314175159,/mir_manipulation/look_at_point/event_in,e_start,"color_(239, 25, 181)"
8,17 10 2019 19:35:03 314225392,/mcr_common/twist_to_motion_direction_conversion/event_in,e_start,"color_(144, 186, 86)"
9,17 10 2019 19:35:03 324670439,/arm_moveit_client/event_out,e_success,"color_(136, 178, 78)"
10,17 10 2019 19:35:12 221797201,/move_base_wrapper/event_out,e_success,"color_(8, 50, 206)"
11,17 10 2019 19:35:12 241364202,/mcr_navigation/direct_base_controller/coordinator/event_in,e_start,"color_(234, 20, 176)"
12,17 10 2019 19:35:12 241462945,/mir_manipulation/look_at_point/event_in,e_stop,"color_(239, 25, 181)"
13,17 10 2019 19:35:16 283436970,/mcr_navigation/direct_base_controller/coordinator/event_out,e_success,"color_(24, 66, 222)"
14,17 10 2019 19:35:16 305362971,/mcr_navigation/direct_base_controller/coordinator/event_in,e_stop,"color_(234, 20, 176)"
15,17 10 2019 19:35:17 287574681,/mcr_navigation/direct_base_controller/coordinator/event_out,e_stopped,"color_(24, 66, 222)"
16,17 10 2019 19:35:17 302527856,/mir_perception/barrier_tape_detection/event_in,e_stop,"color_(151, 193, 93)"
0,17 10 2019 19:34:55 986039108 17 10 2019 19:34:56 188936301,/arm_cam3d/aligned_depth_to_rgb/image_raw/compressed,/arm_cam3d/aligned_depth_to_rgb/image_raw/compressed,"color_(77, 119, 19)"
1,17 10 2019 19:34:56 135280786 17 10 2019 19:35:00 187372033,/arm_cam3d/infra1/image_rect_raw/theora,/arm_cam3d/infra1/image_rect_raw/theora,"color_(15, 57, 213)"
2,17 10 2019 19:34:56 113914605 17 10 2019 19:35:00 172365761,/arm_cam3d/infra2/image_rect_raw/theora,/arm_cam3d/infra2/image_rect_raw/theora,"color_(4, 46, 202)"
3,17 10 2019 19:34:55 985683514 17 10 2019 19:34:59 593397398,/arm_cam3d/aligned_depth_to_infra1/image_raw/compressed,/arm_cam3d/aligned_depth_to_infra1/image_raw/compressed,"color_(121, 163, 63)"
4,17 10 2019 19:34:55 985611950 17 10 2019 19:35:00 154737446,/arm_cam3d/infra2/image_rect_raw/compressed,/arm_cam3d/infra2/image_rect_raw/compressed,"color_(89, 131, 31)"
5,17 10 2019 19:34:56 418506243 17 10 2019 19:35:00 137884316,/arm_cam3d/depth/image_rect_raw/compressedDepth,/arm_cam3d/depth/image_rect_raw/compressedDepth,"color_(125, 167, 67)"
6,17 10 2019 19:34:55 986205674 17 10 2019 19:34:56 187498862,/arm_cam3d/aligned_depth_to_rgb/image_raw/compressedDepth,/arm_cam3d/aligned_depth_to_rgb/image_raw/compressedDepth,"color_(35, 77, 233)"
7,17 10 2019 19:34:56 189463988 17 10 2019 19:34:56 189463988,/arm_cam3d/aligned_depth_to_rgb/image_raw,/arm_cam3d/aligned_depth_to_rgb/image_raw,"color_(164, 206, 106)"
8,17 10 2019 19:34:55 985484497 17 10 2019 19:35:21 154781798,/move_base/local_costmap/costmap_updates,/move_base/local_costmap/costmap_updates,"color_(71, 113, 13)"
9,17 10 2019 19:34:55 985345305 17 10 2019 19:34:55 985373165,/arm_cam3d/depth/image_rect_raw/theora,/arm_cam3d/depth/image_rect_raw/theora,"color_(44, 86, 242)"
10,17 10 2019 19:34:55 985605136 17 10 2019 19:35:00 139820700,/arm_cam3d/depth/image_rect_raw/compressed,/arm_cam3d/depth/image_rect_raw/compressed,"color_(248, 34, 190)"
