Topic,Color,Message,Count,Connections,Frequency
/move_base/DWAPlannerROS/local_plan,"color_(16, 202, 93)",nav_msgs/Path,42,1,9.955221365385208
/mcr_navigation/direct_base_controller/coordinator/event_out,"color_(120, 50, 197)",std_msgs/String,1,1,
/mir_perception/barrier_tape_detection/event_in,"color_(66, 252, 143)",std_msgs/String,2,1,0.05100193294746046
/arm_1/arm_controller/follow_joint_trajectory/status,"color_(146, 76, 223)",actionlib_msgs/GoalStatusArray,136,1,5.000010728859081
/arm_moveit_client/target_string_pose,"color_(38, 224, 115)",std_msgs/String,2,1,0.06876998031802843
/execute_trajectory/status,"color_(206, 136, 27)",actionlib_msgs/GoalStatusArray,132,1,4.998979776695049
/move_base/global_costmap/costmap,"color_(102, 32, 179)",nav_msgs/OccupancyGrid,1,1,
/move_base/global_costmap/costmap_updates,"color_(28, 214, 105)",map_msgs/OccupancyGridUpdate,5,1,0.19988517681479034
/move_base/local_costmap/obstacle_layer/parameter_descriptions,"color_(254, 184, 75)",dynamic_reconfigure/ConfigDescription,1,1,
/move_base/status,"color_(196, 126, 17)",actionlib_msgs/GoalStatusArray,136,1,5.001155404946182
/move_group/trajectory_execution/parameter_descriptions,"color_(108, 38, 185)",dynamic_reconfigure/ConfigDescription,1,1,
/cmd_vel_prio_medium,"color_(56, 242, 133)",geometry_msgs/Twist,184,2,11.714853100133228
/motor_states/gripper_port,"color_(122, 52, 199)",dynamixel_msgs/MotorStateList,263,1,10.003813767007218
/hokuyo_front_node/parameter_updates,"color_(148, 78, 225)",dynamic_reconfigure/Config,1,1,
/move_base_safe_server/status,"color_(70, 0, 147)",actionlib_msgs/GoalStatusArray,135,1,5.0011882028685
/scan_rear,"color_(194, 124, 15)",sensor_msgs/LaserScan,266,1,10.048643986583613
/move_base/global_costmap/parameter_descriptions,"color_(22, 208, 99)",dynamic_reconfigure/ConfigDescription,1,1,
/move_base/GlobalPlannerWithOrientations/potential,"color_(228, 158, 49)",nav_msgs/OccupancyGrid,26,1,4.933546626517361
/arm_1/arm_controller/follow_joint_trajectory/result,"color_(212, 142, 33)",control_msgs/FollowJointTrajectoryActionResult,1,1,
/mcr_navigation/laser_distances/distances,"color_(128, 58, 205)",std_msgs/Float32MultiArray,265,1,10.000784458657956
/rosout,"color_(62, 248, 139)",rosgraph_msgs/Log,173,28,127100.12121212122
/mcr_common/dynamic_reconfigure_client/configuration_name,"color_(190, 120, 11)",std_msgs/String,1,1,
/move_group/monitored_planning_scene,"color_(180, 110, 1)",moveit_msgs/PlanningScene,105,1,3.9971695915015317
/hokuyo_front_node/parameter_descriptions,"color_(52, 238, 129)",dynamic_reconfigure/ConfigDescription,1,1,
/joint_states,"color_(226, 156, 47)",sensor_msgs/JointState,2917,2,313.01944102391883
/arm_1/arm_controller/follow_joint_trajectory/goal,"color_(200, 130, 21)",control_msgs/FollowJointTrajectoryActionGoal,1,1,
/move_base/local_costmap/inflation_layer/parameter_descriptions,"color_(186, 116, 7)",dynamic_reconfigure/ConfigDescription,1,1,
/poses,"color_(130, 60, 207)",visualization_msgs/MarkerArray,1,1,
/move_group/planning_scene_monitor/parameter_descriptions,"color_(178, 108, 255)",dynamic_reconfigure/ConfigDescription,1,1,
/arm_moveit_client/event_in,"color_(32, 218, 109)",std_msgs/String,2,1,0.06877855306283348
/mcr_common/twist_to_motion_direction_conversion/event_in,"color_(154, 84, 231)",std_msgs/String,1,1,
/mcr_common/dynamic_reconfigure_client/event_out,"color_(208, 138, 29)",std_msgs/String,1,1,
/move_base/GlobalPlannerWithOrientations/plan,"color_(140, 70, 217)",geometry_msgs/PoseArray,2,1,0.19995839031146434
/move_group/sense_for_plan/parameter_updates,"color_(4, 190, 81)",dynamic_reconfigure/Config,1,1,
